model_id,benchmark,source_a,source_b,score_a,score_b,delta,n_shot_a,n_shot_b,harness_a,harness_b,prompt_template_a,prompt_template_b
Qwen/Qwen2.5-14B,HumanEval,papers_2412.15115,papers_2505.09388,0.567,0.835,-0.268,0,0,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-4,MATH,papers_2403.04652,papers_2501.12948,0.402,0.134,0.268,4,4,lm-evaluation-harness,lm-evaluation-harness,,
unknown/Mamba,HellaSwag,papers_2403.19887,papers_2501.00663,0.626,0.3588,0.2672,unknown,10,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-3.5-turbo,BoolQ,papers_2302.13971,papers_2403.04652,0.605,0.872,-0.267,0,unknown,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-4o-2024-05-13,Mean win rate,helm_lite,helm_mmlu,0.938,0.671,0.267,,,helm,helm,,
meta-llama/Llama-2-7b-hf,MBPP,papers_2402.19173,papers_2403.08295,0.474,0.208,0.266,unknown,unknown,bigcode-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MBPP,papers_2309.05463,papers_2402.19173,0.208,0.474,-0.266,unknown,unknown,lm-evaluation-harness,bigcode-evaluation-harness,,
Qwen/Qwen2-7B,MBPP,papers_2402.16819,papers_2505.09388,0.408,0.672,-0.264,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,MMLU,papers_2307.09288,papers_2402.16819,0.3996,0.663,-0.2634,5,5,lm-evaluation-harness,lm-evaluation-harness,,
bigcode/StarCoder2-15B,HumanEval,papers_2409.12186,papers_2411.04905,0.463,0.726,-0.263,0,0,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-13b-hf,GSM8K,papers_2401.04088,papers_2402.19173,0.343,0.08,0.263,8,unknown,lm-evaluation-harness,bigcode-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MMLU,papers_2312.06550,papers_2501.00656,0.438,0.701,-0.263,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-13b-hf,GSM8K,papers_2310.06825,papers_2402.19173,0.343,0.08,0.263,8,unknown,lm-evaluation-harness,bigcode-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2312.15166,papers_2407.14885,0.8488,0.5873,0.2615,10,10,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,TruthfulQA,papers_2312.06550,papers_2312.15166,0.4215,0.6826,-0.2611,0,0,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,TruthfulQA,papers_2312.15166,papers_2403.08295,0.6826,0.422,0.2606,0,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,TruthfulQA,papers_2312.15166,papers_2407.10671,0.6826,0.422,0.2606,0,0,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,TruthfulQA,papers_2312.15166,papers_2412.15115,0.6826,0.422,0.2606,0,unknown,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,MBPP,papers_2309.16609,papers_2402.16819,0.148,0.408,-0.26,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-4,MATH,papers_2306.05685,papers_2403.04652,0.661,0.402,0.259,unknown,4,fastchat,lm-evaluation-harness,,
openai/gpt-4,MATH,papers_2306.05685,papers_2309.16609,0.661,0.919,-0.258,unknown,unknown,fastchat,lm-evaluation-harness,,
Qwen/Qwen2-7B,MMLU,papers_2309.16609,papers_2412.15115,0.446,0.703,-0.257,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MMLU,papers_2310.06825,papers_2501.00656,0.444,0.701,-0.257,5,5,lm-evaluation-harness,lm-evaluation-harness,,
google/gemma-7b,MATH,helm_lite,papers_2407.10671,0.5,0.243,0.257,,4,helm,lm-evaluation-harness,,
Qwen/Qwen2-7B,MMLU,papers_2309.16609,papers_2407.10671,0.446,0.703,-0.257,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MMLU,papers_2401.04088,papers_2501.00656,0.444,0.701,-0.257,5,5,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,GSM8K,papers_2402.16819,papers_2505.09388,0.601,0.857,-0.256,8,8,lm-evaluation-harness,lm-evaluation-harness,,
01-ai/yi-34b,Mean win rate,helm_lite,helm_mmlu,0.57,0.315,0.255,,,helm,helm,,
Qwen/Qwen2.5-72B,MATH,papers_2502.02737,papers_2505.09388,0.343,0.5973,-0.2543,4,4,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2.5-72B,MATH,papers_2412.15115,papers_2502.02737,0.5973,0.343,0.2543,4,4,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-3.5-turbo,MATH,papers_2306.05685,papers_2309.16609,0.638,0.892,-0.254,unknown,unknown,fastchat,lm-evaluation-harness,,
Qwen/Qwen2-7B,BBH,papers_2309.16609,papers_2402.16819,0.282,0.534,-0.252,unknown,3,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/mistral-small-2402,Mean win rate,helm_lite,helm_mmlu,0.288,0.54,-0.252,,,helm,helm,,
Qwen/Qwen2-7B,MBPP,papers_2402.16819,papers_2407.10671,0.408,0.659,-0.251,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,BBH,hfopenllm_v2,papers_2309.16609,0.5315,0.282,0.2495,3,unknown,lighteval,lm-evaluation-harness,lighteval/bbh,
meta-llama/Llama-2-7b-hf,GSM8K,papers_2402.16819,papers_2405.04324,0.287,0.038,0.249,8,8,lm-evaluation-harness,lm-evaluation-harness,,
databricks/dbrx-instruct,Mean win rate,helm_lite,helm_mmlu,0.289,0.537,-0.248,,,helm,helm,,
meta-llama/Llama-2-7b-hf,MMLU,papers_2309.05463,papers_2501.00656,0.453,0.701,-0.248,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MMLU,papers_2403.08295,papers_2501.00656,0.453,0.701,-0.248,5,5,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-3.5-turbo,BBH,papers_2403.17297,papers_2501.00656,0.419,0.666,-0.247,3,3,opencompass,lm-evaluation-harness,,
google/gemini-2.0-flash-exp,Mean win rate,helm_lite,helm_mmlu,0.813,0.567,0.246,,,helm,helm,,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2312.06550,papers_2407.14885,0.8331,0.5873,0.2458,10,10,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2407.14885,papers_2412.15115,0.5873,0.833,-0.2457,10,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2407.10671,papers_2407.14885,0.832,0.5873,0.2447,unknown,10,lm-evaluation-harness,lm-evaluation-harness,,
google/gemini-1.5-flash-002,Mean win rate,helm_lite,helm_mmlu,0.573,0.817,-0.244,,,helm,helm,,
Qwen/Qwen2.5-1.5B,HumanEval,papers_2412.15115,papers_2505.09388,0.372,0.616,-0.244,0,0,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2407.14885,papers_2408.00118,0.5873,0.83,-0.2427,10,10,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Meta-Llama-3-8B,ARC-Challenge,papers_2406.11704,papers_2408.00118,0.93,0.688,0.242,25,25,lm-evaluation-harness,lm-evaluation-harness,,
tiiuae/falcon-7b,HellaSwag,papers_2309.05463,papers_2312.06550,0.542,0.7813,-0.2393,10,10,lm-evaluation-harness,lm-evaluation-harness,,
google/gemma-7b,HumanEval,papers_2402.16819,papers_2411.04905,0.323,0.561,-0.238,0,0,lm-evaluation-harness,lm-evaluation-harness,,
google/Gemma2-27B,HumanEval,papers_2412.15115,papers_2505.09388,0.549,0.787,-0.238,0,0,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,ARC-Challenge,papers_2402.16819,papers_2412.15115,0.844,0.606,0.238,25,unknown,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,ARC-Challenge,papers_2402.16819,papers_2407.10671,0.844,0.606,0.238,25,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2407.10671,papers_2407.14885,0.642,0.4046,0.2374,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2407.14885,papers_2412.15115,0.4046,0.642,-0.2374,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,NaturalQuestions,papers_2403.17297,papers_2405.19327,0.288,0.0507,0.2373,unknown,unknown,opencompass,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2312.06550,papers_2407.14885,0.6416,0.4046,0.237,5,5,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-3.5-turbo,GSM8K,papers_2309.16609,papers_2403.04652,0.808,0.571,0.237,8,8,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-3.5-turbo,GSM8K,papers_2303.08774,papers_2309.16609,0.571,0.808,-0.237,5,8,openai_evals,lm-evaluation-harness,,
meta-llama/Meta-Llama-3-8B,BBH,papers_2406.11704,papers_2505.09388,0.813,0.577,0.236,3,3,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-4,MATH,papers_2305.10403,papers_2306.05685,0.425,0.661,-0.236,unknown,unknown,unknown,fastchat,,
meta-llama/Llama-2-7b-hf,HellaSwag,papers_2309.05463,papers_2402.16819,0.571,0.807,-0.236,10,10,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Meta-Llama-3-8B,BBH,papers_2406.11704,papers_2407.10671,0.813,0.577,0.236,3,3,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2405.19327,papers_2407.14885,0.6404,0.4046,0.2358,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2403.17297,papers_2407.14885,0.64,0.4046,0.2354,5,5,opencompass,lm-evaluation-harness,,
microsoft/phi-3-small-8k-instruct,Mean win rate,helm_lite,helm_mmlu,0.473,0.708,-0.235,,,helm,helm,,
mistralai/Mistral-7B-v0.1,GSM8K,papers_2310.06825,papers_2403.08295,0.522,0.287,0.235,8,11,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,GSM8K,papers_2403.08295,papers_2407.10671,0.287,0.522,-0.235,11,8,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MMLU,papers_2403.17297,papers_2501.00656,0.468,0.701,-0.233,5,5,opencompass,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MMLU,papers_2405.19327,papers_2501.00656,0.468,0.701,-0.233,5,5,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen1.5-110B,IFEval,hfopenllm_v2,papers_2407.10671,0.3422,0.575,-0.2328,0,0,lighteval,lm-evaluation-harness,lighteval/ifeval,
Qwen/Qwen2-7B,IFEval,hfopenllm_v2,papers_2407.10671,0.3149,0.547,-0.2321,0,0,lighteval,lm-evaluation-harness,lighteval/ifeval,
Qwen/Qwen2-7B,IFEval,hfopenllm_v2,papers_2505.09388,0.3149,0.547,-0.2321,0,0,lighteval,lm-evaluation-harness,lighteval/ifeval,
Qwen/Qwen2-7B,IFEval,hfopenllm_v2,papers_2412.15115,0.3149,0.547,-0.2321,0,0,lighteval,lm-evaluation-harness,lighteval/ifeval,
openai/gpt-3.5-turbo-0613,Mean win rate,helm_lite,helm_mmlu,0.358,0.589,-0.231,,,helm,helm,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2407.14885,papers_2501.00656,0.4046,0.635,-0.2304,5,5,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,MMLU,papers_2309.16609,papers_2409.12122,0.446,0.676,-0.23,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2403.08295,papers_2406.11704,0.548,0.7775,-0.2295,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Meta-Llama-3-8B,BBH,papers_2210.11416,papers_2406.11704,0.584,0.813,-0.229,unknown,3,unknown,lm-evaluation-harness,,
google/gemma-2b,ARC-Challenge,papers_2407.10671,papers_2408.00118,0.485,0.714,-0.229,unknown,25,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-72B,MATH,papers_2407.10671,papers_2412.15115,0.708,0.4807,0.2273,4,4,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-72B,MATH,papers_2407.10671,papers_2505.09388,0.708,0.4807,0.2273,4,4,lm-evaluation-harness,lm-evaluation-harness,,
snowflake/snowflake-arctic-instruct,Mean win rate,helm_lite,helm_mmlu,0.338,0.565,-0.227,,,helm,helm,,
Qwen/Qwen2-7B,MMLU,papers_2309.16609,papers_2505.09388,0.446,0.673,-0.227,5,5,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,MATH,papers_2407.10671,papers_2412.15115,0.6099,0.3831,0.2268,4,4,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,MATH,papers_2407.10671,papers_2505.09388,0.6099,0.3831,0.2268,4,4,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-3.5-turbo,MATH,papers_2306.05685,papers_2501.00656,0.638,0.412,0.226,unknown,4,fastchat,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2310.06825,papers_2407.14885,0.813,0.5873,0.2257,10,10,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2402.16819,papers_2407.14885,0.813,0.5873,0.2257,10,10,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-3.5-turbo-0613,MMLU,helm_classic,helm_lite,0.391,0.614,-0.223,,,helm,helm,,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2401.04088,papers_2407.14885,0.81,0.5873,0.2227,10,10,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2404.05892,papers_2407.14885,0.81,0.5873,0.2227,10,10,lm-evaluation-harness,lm-evaluation-harness,,
tiiuae/falcon-7b,HellaSwag,papers_2309.05463,papers_2404.05892,0.542,0.764,-0.222,10,10,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,ARC-Challenge,papers_2403.08295,papers_2405.19327,0.494,0.7153,-0.2213,25,25,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2401.04088,papers_2407.14885,0.625,0.4046,0.2204,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2407.14885,papers_2408.00118,0.4046,0.625,-0.2204,5,5,lm-evaluation-harness,lm-evaluation-harness,,
tiiuae/falcon-7b,MATH,helm_lite,papers_2307.09288,0.044,0.264,-0.22,,unknown,helm,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2403.08295,papers_2407.14885,0.807,0.5873,0.2197,10,10,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2.5-72B,HumanEval,papers_2412.15115,papers_2502.02737,0.591,0.372,0.219,0,0,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,NaturalQuestions,papers_2403.08295,papers_2405.19327,0.312,0.0931,0.2189,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,NaturalQuestions,papers_2403.17297,papers_2405.19327,0.311,0.0931,0.2179,unknown,unknown,opencompass,lm-evaluation-harness,,
Qwen/Qwen2-7B,MMLU,papers_2309.16609,papers_2402.16819,0.446,0.663,-0.217,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-13b-hf,NaturalQuestions,papers_2401.04088,papers_2501.00656,0.167,0.384,-0.217,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Meta-Llama-3-8B,GSM8K,papers_2408.00118,papers_2505.09388,0.769,0.553,0.216,8,8,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-72B,HumanEval,papers_2407.10671,papers_2505.09388,0.646,0.86,-0.214,0,0,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-72B,HumanEval,papers_2412.15115,papers_2505.09388,0.646,0.86,-0.214,0,0,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MBPP,papers_2310.06825,papers_2402.19173,0.261,0.474,-0.213,3,unknown,lm-evaluation-harness,bigcode-evaluation-harness,,
01-ai/yi-large-preview,Mean win rate,helm_lite,helm_mmlu,0.471,0.258,0.213,,,helm,helm,,
anthropic/claude-instant-1.2,Mean win rate,helm_lite,helm_mmlu,0.399,0.186,0.213,,,helm,helm,,
mistralai/Mistral-7B-v0.1,GSM8K,papers_2401.04088,papers_2403.08295,0.5,0.287,0.213,8,11,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MBPP,papers_2401.04088,papers_2402.19173,0.261,0.474,-0.213,3,unknown,lm-evaluation-harness,bigcode-evaluation-harness,,
meta-llama/Llama-2-13b-hf,IFEval,hfopenllm_v2,papers_2403.17297,0.2482,0.461,-0.2128,0,unknown,lighteval,opencompass,lighteval/ifeval,
Qwen/Qwen2.5-72B,HellaSwag,papers_2412.15115,papers_2502.02737,0.876,0.664,0.212,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-3.5-turbo,GSM8K,papers_2303.08774,papers_2403.17297,0.571,0.782,-0.211,5,8,openai_evals,opencompass,,
openai/gpt-3.5-turbo,GSM8K,papers_2403.04652,papers_2403.17297,0.571,0.782,-0.211,8,8,lm-evaluation-harness,opencompass,,
meta-llama/Meta-Llama-3-8B,GSM8K,papers_2407.10671,papers_2408.00118,0.56,0.769,-0.209,8,8,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Meta-Llama-3-8B,MMLU,papers_2406.11704,papers_2407.21783,0.795,0.586,0.209,5,5,lm-evaluation-harness,lm-evaluation-harness,,
ai21/jamba-1.5-mini,Mean win rate,helm_lite,helm_mmlu,0.414,0.206,0.208,,,helm,helm,,
openai/gpt-4,MATH,papers_2309.16609,papers_2407.10671,0.919,0.7116,0.2074,unknown,4,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-13b-hf,GSM8K,papers_2402.19173,papers_2403.17297,0.08,0.287,-0.207,unknown,8,bigcode-evaluation-harness,opencompass,,
Qwen/Qwen2.5-1.5B,IFEval,hfopenllm_v2,papers_2502.02737,0.2674,0.474,-0.2066,0,0,lighteval,lm-evaluation-harness,lighteval/ifeval,
meta-llama/Llama-2-7b-hf,HellaSwag,papers_2309.05463,papers_2312.06550,0.571,0.7774,-0.2064,10,10,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,NaturalQuestions,papers_2403.08295,papers_2405.19327,0.257,0.0507,0.2063,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
unknown/MPT,MATH,papers_2307.09288,papers_2309.16609,0.236,0.03,0.206,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-13b-hf,TriviaQA,papers_2403.17297,papers_2501.00656,0.607,0.813,-0.206,unknown,unknown,opencompass,lm-evaluation-harness,,
meta-llama/Meta-Llama-3-8B,MMLU,papers_2407.21783,papers_2408.00118,0.586,0.792,-0.206,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MBPP,papers_2403.08295,papers_2407.10671,0.306,0.511,-0.205,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MBPP,papers_2403.08295,papers_2412.15115,0.306,0.511,-0.205,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-3.5-turbo,MATH,papers_2302.13971,papers_2403.04652,0.345,0.14,0.205,unknown,4,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2312.15166,papers_2407.14885,0.6078,0.4046,0.2032,5,5,lm-evaluation-harness,lm-evaluation-harness,,
openai/text-davinci-002,OpenbookQA,helm_classic,helm_lite,0.594,0.796,-0.202,,,helm,helm,,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2403.17297,papers_2407.14885,0.789,0.5873,0.2017,unknown,10,opencompass,lm-evaluation-harness,,
meta-llama/Llama-2-13b-hf,GSM8K,papers_2402.19173,papers_2501.00656,0.08,0.281,-0.201,unknown,8,bigcode-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,HellaSwag,papers_2309.05463,papers_2403.08295,0.571,0.772,-0.201,10,10,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-3.5-turbo,ARC-Easy,papers_2302.13971,papers_2403.04652,0.688,0.889,-0.201,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,GSM8K,papers_2402.16819,papers_2412.15115,0.601,0.802,-0.201,8,8,lm-evaluation-harness,lm-evaluation-harness,,
google/gemma-2b,HumanEval,papers_2408.00118,papers_2408.12570,0.201,0.402,-0.201,0,0,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,HellaSwag,papers_2309.05463,papers_2310.06825,0.571,0.771,-0.2,10,10,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,HumanEval,papers_2302.13971,papers_2402.19173,0.105,0.305,-0.2,0,unknown,lm-evaluation-harness,bigcode-evaluation-harness,,
meta-llama/Llama-2-7b-hf,HellaSwag,papers_2309.05463,papers_2401.04088,0.571,0.771,-0.2,10,10,lm-evaluation-harness,lm-evaluation-harness,,
tiiuae/falcon-7b,HellaSwag,papers_2307.09288,papers_2309.05463,0.741,0.542,0.199,10,10,lm-evaluation-harness,lm-evaluation-harness,,
google/gemma-2b,ARC-Challenge,papers_2407.10671,papers_2408.12570,0.485,0.684,-0.199,unknown,25,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,GSM8K,papers_2402.16819,papers_2409.12122,0.601,0.799,-0.198,8,8,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,GSM8K,papers_2402.16819,papers_2407.10671,0.601,0.799,-0.198,8,8,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,ARC-Challenge,papers_2405.19327,papers_2406.11704,0.7153,0.913,-0.1977,25,25,lm-evaluation-harness,lm-evaluation-harness,,
qwen/qwen2.5-72b-instruct-turbo,Mean win rate,helm_lite,helm_mmlu,0.745,0.548,0.197,,,helm,helm,,
Qwen/Qwen2-72B,MATH,papers_2407.10671,papers_2409.12122,0.708,0.511,0.197,4,4,lm-evaluation-harness,lm-evaluation-harness,,
google/gemini-1.5-flash-001,Mean win rate,helm_lite,helm_mmlu,0.667,0.47,0.197,,,helm,helm,,
meta-llama/Llama-2-7b-hf,TriviaQA,papers_2403.08295,papers_2405.19327,0.721,0.5244,0.1966,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2310.06825,papers_2407.14885,0.601,0.4046,0.1964,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2402.16819,papers_2407.14885,0.601,0.4046,0.1964,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,NaturalQuestions,papers_2310.06825,papers_2405.19327,0.247,0.0507,0.1963,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MBPP,papers_2401.04088,papers_2403.08295,0.502,0.306,0.196,3,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,NaturalQuestions,papers_2310.06825,papers_2405.19327,0.288,0.0931,0.1949,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,IFEval,hfopenllm_v2,papers_2403.17297,0.2519,0.446,-0.1941,0,unknown,lighteval,opencompass,lighteval/ifeval,
openai/gpt-3.5-turbo-0613,Mean win rate,helm_classic,helm_mmlu,0.783,0.589,0.194,,,helm,helm,,
mistralai/Mistral-7B-v0.1,ARC-Challenge,papers_2407.14885,papers_2408.00118,0.4123,0.605,-0.1927,25,25,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MMLU,papers_2309.16609,papers_2402.16819,0.356,0.548,-0.192,5,5,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,MBPP,papers_2402.16819,papers_2412.15115,0.408,0.599,-0.191,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,HellaSwag,papers_2302.13971,papers_2309.05463,0.761,0.571,0.19,10,10,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,HumanEval,papers_2402.16819,papers_2407.10671,0.322,0.512,-0.19,0,0,lm-evaluation-harness,lm-evaluation-harness,,
google/gemma-7b,HumanEval,papers_2407.10671,papers_2411.04905,0.372,0.561,-0.189,0,0,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HumanEval,papers_2406.11704,papers_2408.00118,0.451,0.262,0.189,0,0,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,HumanEval,papers_2310.06825,papers_2402.19173,0.116,0.305,-0.189,0,unknown,lm-evaluation-harness,bigcode-evaluation-harness,,
google/gemma-7b,HumanEval,papers_2411.04905,papers_2412.15115,0.561,0.372,0.189,0,0,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,HellaSwag,papers_2309.05463,papers_2404.05892,0.571,0.76,-0.189,10,10,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-4,MATH,papers_2407.10671,papers_2505.09388,0.7116,0.5236,0.188,4,4,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,GSM8K,papers_2403.08295,papers_2403.17297,0.287,0.475,-0.188,11,8,lm-evaluation-harness,opencompass,,
openai/gpt-4,MATH,papers_2407.10671,papers_2412.15115,0.7116,0.5236,0.188,4,4,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MBPP,papers_2302.13971,papers_2309.16609,0.365,0.177,0.188,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
